Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung
18,115,5,CDU/CSU,Albani,Stephan,,1,0,0,0,0,Stephan Albani
18,115,5,CDU/CSU,Albsteiger,Katrin,,1,0,0,0,0,Katrin Albsteiger
18,115,5,CDU/CSU,Altmaier,Peter,,0,0,0,0,1,Peter Altmaier
18,115,5,CDU/CSU,Auernhammer,Artur,,1,0,0,0,0,Artur Auernhammer
18,115,5,CDU/CSU,Bär,Dorothee,,1,0,0,0,0,Dorothee Bär
18,115,5,CDU/CSU,Bareiß,Thomas,,1,0,0,0,0,Thomas Bareiß
18,115,5,CDU/CSU,Barthle,Norbert,,1,0,0,0,0,Norbert Barthle
18,115,5,CDU/CSU,Baumann,Günter,,1,0,0,0,0,Günter Baumann
18,115,5,CDU/CSU,Beermann,Maik,,1,0,0,0,0,Maik Beermann
18,115,5,CDU/CSU,Behrens (Börde),Manfred,,1,0,0,0,0,Manfred Behrens (Börde)
18,115,5,CDU/CSU,Bellmann,Veronika,,1,0,0,0,0,Veronika Bellmann
18,115,5,CDU/CSU,Benning,Sybille,,1,0,0,0,0,Sybille Benning
18,115,5,CDU/CSU,Berghegger,Andre,,1,0,0,0,0,Dr. Andre Berghegger
18,115,5,CDU/CSU,Bergner,Christoph,,1,0,0,0,0,Dr. Christoph Bergner
18,115,5,CDU/CSU,Bertram,Ute,,1,0,0,0,0,Ute Bertram
18,115,5,CDU/CSU,Beyer,Peter,,1,0,0,0,0,Peter Beyer
18,115,5,CDU/CSU,Bilger,Steffen,,1,0,0,0,0,Steffen Bilger
18,115,5,CDU/CSU,Binninger,Clemens,,1,0,0,0,0,Clemens Binninger
18,115,5,CDU/CSU,Bleser,Peter,,1,0,0,0,0,Peter Bleser
18,115,5,CDU/CSU,Böhmer,Maria,,0,0,0,0,1,Dr. Maria Böhmer
18,115,5,CDU/CSU,Bosbach,Wolfgang,,1,0,0,0,0,Wolfgang Bosbach
18,115,5,CDU/CSU,Brackmann,Norbert,,1,0,0,0,0,Norbert Brackmann
18,115,5,CDU/CSU,Brähmig,Klaus,,0,0,0,0,1,Klaus Brähmig
18,115,5,CDU/CSU,Brand,Michael,,1,0,0,0,0,Michael Brand
18,115,5,CDU/CSU,Brandl,Reinhard,,1,0,0,0,0,Dr. Reinhard Brandl
18,115,5,CDU/CSU,Brandt,Helmut,,1,0,0,0,0,Helmut Brandt
18,115,5,CDU/CSU,Brauksiepe,Ralf,,1,0,0,0,0,Dr. Ralf Brauksiepe
18,115,5,CDU/CSU,Braun,Helge,,0,0,0,0,1,Dr. Helge Braun
